rank	score	topic	industry	production	impact	reels_fit	title	year	citations	venue	companies	link
141	0.373	adjacent	0.50	0.00	0.28	0.20	Deep Page-Level Interest Network in Reinforcement Learning for Ads Allocation	2022	13	SIGIR	Meizu (China)	https://doi.org/10.1145/3477495.3531847
142	0.373	core	0.00	0.25	0.12	0.20	Don’t Get Bored: Enhancing Scalability and Diversity in Session-Based Slate Recommendation	2025	2	ACM RecSys		https://doi.org/10.1145/3733241
143	0.372	core	0.00	0.00	0.42	0.20	Assessing the Impact of Music Recommendation Diversity on Listeners: A Longitudinal Study	2023	33	ACM RecSys		https://doi.org/10.1145/3608487
144	0.370	adjacent	0.00	0.25	0.85	0.20	LLM-ESR: Large Language Models Enhancement for Long-tailed Sequential Recommendation	2024	117	NeurIPS		https://doi.org/10.52202/079017-0839
145	0.370	core	0.00	0.25	0.25	0.00	Measuring Commonality in Recommendation of Cultural Content to Strengthen Cultural Citizenship	2024	9	ACM RecSys		https://doi.org/10.1145/3643138
146	0.370	core	0.50	0.00	0.00	0.00	From Trade-off to Synergy: Rethinking the Long-tail Session-based Recommendation Via Dual Constraints of Hybrid Intent	2026	0	ACM TOIS	Ubiquitous Energy (United States)	https://doi.org/10.1145/3816730
147	0.370	core	0.50	0.00	0.00	0.00	Federated Recommendation via Stochastic Aggregation and Consistency Inference	2026	0	ACM TOIS	DHC Software (China)	https://doi.org/10.1145/3795526
148	0.369	adjacent	0.50	0.00	0.32	0.00	A novel feature-based framework enabling multi-type DDoS attacks detection	2022	19	TheWebConf / WWW	China National Petroleum Corporation (China)	https://doi.org/10.1007/s11280-022-01040-3
149	0.369	core	0.00	0.25	0.43	0.00	CHA: Categorical Hierarchy-based Attention for Next POI Recommendation	2021	42	ACM TOIS		https://doi.org/10.1145/3464300
150	0.365	core	0.00	0.25	0.07	0.20	MBASR: A Generic Framework for Multi-Behavior Data Augmentation in Sequential Recommendation	2025	1	ACM RecSys		https://doi.org/10.1145/3749998
151	0.365	core	0.00	0.25	0.29	0.00	Fair-SRS: A Fair Session-based Recommendation System	2022	15	WSDM		https://doi.org/10.1145/3488560.3502191
152	0.364	core	0.50	0.00	0.00	0.00	Bid Farewell to Seesaw: Towards Accurate Long-Tail Session-Based Recommendation via Dual Constraints of Hybrid Intents	2026	0	AAAI	Ubiquitous Energy (United States)	https://doi.org/10.1609/aaai.v40i19.38622
153	0.363	core	0.00	0.25	0.47	0.00	Supply-Side Equilibria in Recommender Systems	2022	47	NeurIPS		https://doi.org/10.48550/arXiv.2206.13489
154	0.363	core	0.00	0.00	0.18	0.60	Matching Search Result Diversity with User Diversity Acceptance in Web Search Sessions	2022	5	SIGIR		https://doi.org/10.1145/3477495.3531880
155	0.360	core	0.00	0.00	0.50	0.00	Understanding Biases in ChatGPT-based Recommender Systems: Provider Fairness, Temporal Stability, and Recency	2024	39	ACM RecSys		https://doi.org/10.1145/3690655
156	0.360	core	0.00	0.25	0.22	0.20	CETN: Contrast-enhanced Through Network for Click-Through Rate Prediction	2024	7	ACM TOIS		https://doi.org/10.1145/3688571
157	0.359	weak	1.00	0.00	0.28	0.00	NeuralKG: An Open Source Library for Diverse Representation Learning of Knowledge Graphs	2022	13	SIGIR	Huawei Technologies (China); Alibaba Group (China)	https://doi.org/10.1145/3477495.3531669
158	0.359	adjacent	0.00	0.50	0.61	0.00	Results of the NeurIPS'21 Challenge on Billion-Scale Approximate Nearest Neighbor Search	2022	87	NeurIPS		https://doi.org/10.48550/arXiv.2205.03763
159	0.358	core	0.00	0.00	0.49	0.00	Auditing YouTube’s Recommendation Algorithm for Misinformation Filter Bubbles	2022	52	ACM RecSys		https://doi.org/10.1145/3568392
160	0.355	core	0.00	0.00	0.32	0.20	Explainable Meta-Path Based Recommender Systems	2023	17	ACM RecSys		https://doi.org/10.1145/3625828
161	0.354	core	0.00	0.00	0.35	0.20	Toward the Next Generation of News Recommender Systems	2021	25	TheWebConf / WWW		https://doi.org/10.1145/3442442.3452327
162	0.354	core	0.00	0.00	0.65	0.00	ReFRS: Resource-efficient Federated Recommender System for Dynamic and Diversified User Preferences	2022	98	ACM TOIS		https://doi.org/10.1145/3560486
163	0.353	adjacent	0.50	0.00	0.37	0.00	Bi-Level Graph Structure Learning for Next POI Recommendation	2024	21	IEEE TKDE	Meizu (China)	https://doi.org/10.1109/tkde.2024.3397683
164	0.350	core	0.00	0.25	0.20	0.20	Diversity Maximization in the Presence of Outliers	2023	6	AAAI		https://doi.org/10.1609/aaai.v37i10.26454
165	0.350	core	0.00	0.25	0.31	0.00	Cross-domain Recommendation via Dual Adversarial Adaptation	2023	16	ACM TOIS		https://doi.org/10.1145/3632524
166	0.349	core	0.00	0.00	0.66	0.00	Multi-View Intent Disentangle Graph Networks for Bundle Recommendation	2022	101	AAAI		https://doi.org/10.1609/aaai.v36i4.20359
167	0.347	adjacent	0.75	0.00	0.00	0.00	Exploring Cross-Cultural Perspectives on AI Education: Insights from Teachers in Nigeria and the USA	2026	0	AAAI	Microsoft (United States)	https://doi.org/10.1609/aaai.v40i47.41499
168	0.346	core	0.00	0.00	0.26	0.20	Mitigating Exposure Bias in Recommender Systems—A Comparative Analysis of Discrete Choice Models	2024	10	ACM RecSys		https://doi.org/10.1145/3641291
169	0.344	adjacent	0.00	0.00	1.00	0.00	Are Graph Augmentations Necessary?	2022	581	SIGIR		https://doi.org/10.1145/3477495.3531937
170	0.344	core	0.00	0.25	0.35	0.00	Unveiling User Satisfaction and Creator Productivity Trade-Offs in Recommendation Platforms	2024	18	NeurIPS		https://doi.org/10.48550/arXiv.2410.23683
171	0.342	core	0.00	0.00	0.39	0.00	A Survey on Intent-aware Recommender Systems	2024	23	ACM RecSys		https://doi.org/10.1145/3700890
172	0.342	core	0.00	0.25	0.00	0.40	Diagnostic-Guided Dynamic Profile Optimization for LLM-based User Simulators in Sequential Recommendation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i18.38556
173	0.342	core	0.00	0.00	0.35	0.20	Diversity Vs Relevance: A Practical Multi-objective Study in Luxury Fashion Recommendations	2022	23	SIGIR		https://doi.org/10.1145/3477495.3531866
174	0.341	core	0.00	0.25	0.11	0.20	Multi-Response Awareness for Retrieval-Based Conversations: Respond with Diversity via Dynamic Representation Learning	2021	2	ACM TOIS		https://doi.org/10.1145/3470450
175	0.341	core	0.00	0.25	0.14	0.20	FacetCRS: Multi-Faceted Preference Learning for Pricking Filter Bubbles in Conversational Recommender System	2024	3	AAAI		https://doi.org/10.1609/aaai.v38i8.28794
176	0.339	core	0.00	0.25	0.24	0.00	A Thorough Performance Benchmarking on Lightweight Embedding-based Recommender Systems	2025	7	ACM TOIS		https://doi.org/10.1145/3712589
177	0.339	core	0.00	0.00	0.40	0.00	Robust Self-Supervised Structural Graph Neural Network for Social Network Prediction	2022	33	TheWebConf / WWW		https://doi.org/10.1145/3485447.3512182
178	0.338	core	0.00	0.00	0.33	0.40	Performative Recommendation: Diversifying Content via Strategic Incentives	2023	18	ICML		https://doi.org/10.48550/arXiv.2302.04336
179	0.338	core	0.00	0.00	0.40	0.20	Relieving Popularity Bias in Interactive Recommendation: A Diversity-Novelty-Aware Reinforcement Learning Approach	2023	29	ACM TOIS		https://doi.org/10.1145/3618107
180	0.338	core	0.00	0.00	0.40	0.20	GANSpiration: Balancing Targeted and Serendipitous Inspiration in User Interface Design with Style-Based Generative Adversarial Network	2022	32	ACM CHI		https://doi.org/10.1145/3491102.3517511
181	0.337	core	0.00	0.00	0.25	0.20	Learning Probabilistic Box Embeddings for Effective and Efficient Ranking	2022	10	TheWebConf / WWW		https://doi.org/10.1145/3485447.3512073
182	0.334	adjacent	0.50	0.00	0.07	0.00	Unbiased Identification of Broadly Appealing Content Using a Pure Exploration Infinitely Armed Bandit Strategy	2023	1	ACM RecSys	Photon Spot (United States)	https://doi.org/10.1145/3626324
183	0.333	adjacent	0.00	0.25	0.50	0.00	Heterogeneous Hypergraph Neural Network for Social Recommendation using Attention Network	2023	48	ACM RecSys		https://doi.org/10.1145/3613964
184	0.332	core	0.00	0.00	0.59	0.00	Amazon-M2: A Multilingual Multi-locale Shopping Session Dataset for Recommendation and Text Generation	2023	68	NeurIPS		https://doi.org/10.48550/arXiv.2307.09688
185	0.332	core	0.00	0.00	0.51	0.00	A Graph-Based Approach for Mitigating Multi-Sided Exposure Bias in Recommender Systems	2021	66	ACM TOIS		https://doi.org/10.1145/3470948
186	0.331	core	0.00	0.00	0.32	0.00	Examining the User Evaluation of Multi-List Recommender Interfaces in the Context of Healthy Recipe Choices	2023	17	ACM RecSys		https://doi.org/10.1145/3581930
187	0.331	core	0.00	0.00	0.35	0.00	Towards Analyzing the Bias of News Recommender Systems Using Sentiment and Stance Detection	2022	24	TheWebConf / WWW		https://doi.org/10.1145/3487553.3524674
188	0.331	core	0.00	0.00	0.35	0.00	SSLE: A framework for evaluating the “Filter Bubble” effect on the news aggregator and recommenders	2022	24	TheWebConf / WWW		https://doi.org/10.1007/s11280-022-01031-4
189	0.330	core	0.00	0.00	0.28	0.20	Towards Results-level Proportionality for Multi-objective Recommender Systems	2022	13	SIGIR		https://doi.org/10.1145/3477495.3531787
190	0.330	core	0.00	0.25	0.00	0.00	Controlled Personalization in Legacy Media Online Services: A Case Study in News Recommendation	2026	0	ACM RecSys		https://doi.org/10.1145/3814614
191	0.330	adjacent	0.00	0.00	0.75	0.20	Multi-modal Graph Contrastive Learning for Micro-video Recommendation	2022	133	SIGIR		https://doi.org/10.1145/3477495.3532027
192	0.329	adjacent	0.00	0.00	0.82	0.20	DiffuRec: A Diffusion Model for Sequential Recommendation	2023	129	ACM TOIS		https://doi.org/10.1145/3631116
193	0.329	adjacent	0.50	0.00	0.22	0.00	Collaborative Knowledge Fusion: A Novel Method for Multi-Task Recommender Systems via LLMs	2025	6	IEEE TKDE	Lenovo (China)	https://doi.org/10.1109/tkde.2025.3581706
194	0.328	core	0.00	0.00	0.38	0.00	Cognitive diversity, creativity and team effectiveness: the mediations of inclusion and knowledge sharing	2022	28	CIKM		https://doi.org/10.1108/vjikms-06-2022-0190
195	0.328	core	0.00	0.00	0.15	0.20	CROSS: Feedback-Oriented Multi-Modal Dynamic Alignment in Recommendation Systems	2025	3	ACM RecSys		https://doi.org/10.1145/3734527
196	0.328	core	0.00	0.00	0.49	0.00	Multi-View Subspace Clustering by Joint Measuring of Consistency and Diversity	2022	52	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3199587
197	0.328	adjacent	0.25	0.00	0.52	0.00	Sequential/Session-based Recommendations	2022	60	SIGIR		https://doi.org/10.1145/3477495.3532685
198	0.328	core	0.00	0.00	0.56	0.00	Removing Hidden Confounding in Recommendation: A Unified Multi-Task Learning Approach	2023	61	NeurIPS		https://doi.org/10.52202/075280-2380
199	0.327	core	0.00	0.00	0.56	0.00	On the Embedding Collapse when Scaling up Recommendation Models	2023	60	ICML		https://doi.org/10.48550/arXiv.2310.04400
200	0.327	adjacent	0.00	0.50	0.33	0.00	Cryptographic Primitives in Privacy-Preserving Machine Learning: A Survey	2023	19	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3321803
201	0.326	core	0.00	0.00	0.40	0.00	DAWAR	2022	32	SIGIR		https://doi.org/10.1145/3477495.3531962
202	0.323	core	0.00	0.00	0.31	0.00	A fairness-aware multi-stakeholder recommender system	2021	18	TheWebConf / WWW		https://doi.org/10.1007/s11280-021-00946-8
203	0.322	core	0.00	0.00	0.38	0.00	Mitigating the Filter Bubble While Maintaining Relevance	2022	28	SIGIR		https://doi.org/10.1145/3477495.3531890
204	0.321	adjacent	0.00	0.00	0.92	0.00	XSimGCL: Towards Extremely Simple Graph Contrastive Learning for Recommendation	2023	269	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3288135
205	0.318	core	0.00	0.25	0.00	0.20	TreeBridge: Aligning LLM Embeddings in Industrial Recommender Systems	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i47.41478
206	0.317	core	0.00	0.25	0.11	0.00	Towards One-Size-Fits-Many: Multi-Context Attention Network for Diversity of Entity Resolution Tasks	2021	2	IEEE TKDE		https://doi.org/10.1109/tkde.2021.3060790
207	0.317	core	0.00	0.25	0.14	0.00	Non-monotone Sequential Submodular Maximization	2024	3	AAAI		https://doi.org/10.1609/aaai.v38i14.29452
208	0.317	core	0.00	0.00	0.27	0.20	GDESA: Greedy Diversity Encoder with Self-attention for Search Results Diversification	2022	12	ACM TOIS		https://doi.org/10.1145/3544103
209	0.316	core	0.00	0.00	0.49	0.00	Position: Measure Dataset Diversity, Don't Just Claim It	2024	37	ICML		https://doi.org/10.48550/arXiv.2407.08188
210	0.315	core	0.00	0.00	0.07	0.20	The Upside of Bias: Personalizing Long-Tail Item Recommendations with Biased Sampling	2025	1	ACM RecSys		https://doi.org/10.1145/3771279
211	0.315	core	0.00	0.00	0.41	0.00	Reinforcement Learning Based Path Exploration for Sequential Explainable Recommendation	2023	30	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3237741
212	0.315	core	0.00	0.00	0.18	0.20	Retrieval and Recommendation Systems at the Crossroads of Artificial Intelligence, Ethics, and Regulation	2022	5	SIGIR		https://doi.org/10.1145/3477495.3532683
213	0.315	core	0.00	0.00	0.29	0.20	Augmenting Sequential Recommendation with Balanced Relevance and Diversity	2025	10	AAAI		https://doi.org/10.1609/aaai.v39i11.33258
214	0.314	adjacent	0.00	0.50	0.07	0.00	Efficient and Responsible Adaptation of Large Language Models for Robust Top-k Recommendations	2025	1	ACM RecSys		https://doi.org/10.1145/3774778
215	0.314	core	0.00	0.00	0.25	0.00	Auditing Source Diversity Bias in Video Search Results Using Virtual Agents	2021	11	TheWebConf / WWW		https://doi.org/10.1145/3442442.3452306
216	0.314	adjacent	0.00	0.00	0.96	0.00	LightGCL: Simple Yet Effective Graph Contrastive Learning for Recommendation	2023	386	ICLR		https://doi.org/10.48550/arXiv.2302.08191
217	0.314	adjacent	0.00	0.00	0.96	0.00	Efficient Online Reinforcement Learning with Offline Data	2023	385	ICML		https://doi.org/10.48550/arXiv.2302.02948
218	0.313	core	0.00	0.00	0.25	0.00	VICTOR: An Implicit Approach to Mitigate Misinformation via Continuous Verification Reading	2022	10	TheWebConf / WWW		https://doi.org/10.1145/3485447.3512246
219	0.313	adjacent	0.00	0.25	0.64	0.00	Contrastive Graph Structure Learning via Information Bottleneck for Recommendation	2022	94	NeurIPS		https://doi.org/10.52202/068431-1484
220	0.312	core	0.00	0.00	0.42	0.00	Learning from the Dark: Boosting Graph Convolutional Neural Networks with Diverse Negative Samples	2022	37	AAAI		https://doi.org/10.1609/aaai.v36i6.20608
221	0.312	adjacent	0.50	0.00	0.12	0.00	Personalized News Recommendation Towards the Era of LLMs: Review and Prospect	2025	2	IEEE TKDE	China State Construction Engineering (China); China Mobile (China)	https://doi.org/10.1109/tkde.2025.3581806
222	0.311	core	0.00	0.25	0.07	0.00	When Graph Contrastive Learning Backfires: Spectral Vulnerability and Defense in Recommendation	2025	1	ACM TOIS		https://doi.org/10.1145/3779448
223	0.311	core	0.00	0.00	0.16	0.20	Report on the 1st workshop on recommender systems for human resources (RecSys in HR 2021) at RecSys 2021	2021	4	SIGIR		https://doi.org/10.1145/3527546.3527567
224	0.311	adjacent	0.50	0.00	0.00	0.20	BLADE: A Behavior-Level Data Augmentation Framework with Dual Fusion Modeling for Multi-Behavior Sequential Recommendation	2026	0	AAAI	MediaTek (China)	https://doi.org/10.1609/aaai.v40i18.38543
225	0.310	core	0.00	0.00	0.26	0.00	Vaccine Hesitancy in Nigeria: Overcoming Cultural, Linguistic and Religious Obstacles	2024	10	CIKM		https://doi.org/10.4314/iijikm.v15i1.12
226	0.310	core	0.00	0.00	0.45	0.00	Mitigating the Popularity Bias of Graph Collaborative Filtering: A Dimensional Collapse Perspective	2023	38	NeurIPS		https://doi.org/10.52202/075280-2952
227	0.310	core	0.00	0.00	0.30	0.20	Diversified Recommendations for Agents with Adaptive Preferences	2022	16	NeurIPS		https://doi.org/10.48550/arXiv.2210.07773
228	0.309	core	0.00	0.00	0.45	0.00	Ethical Considerations for Responsible Data Curation	2023	37	NeurIPS		https://doi.org/10.52202/075280-2415
229	0.309	core	0.00	0.00	0.44	0.00	ManyDG: Many-domain Generalization for Healthcare Applications	2023	36	ICLR		https://doi.org/10.48550/arXiv.2301.08834
230	0.307	core	0.00	0.00	0.36	0.00	GS$^{2}$-RS: A Generative Approach for Alleviating Cold start and Filter bubbles in Recommender Systems	2023	22	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3290140
231	0.307	adjacent	0.00	0.00	0.84	0.00	NeuLFT: A Novel Approach to Nonlinear Canonical Polyadic Decomposition on High-Dimensional Incomplete Tensors	2022	162	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3176466
232	0.306	core	0.00	0.00	0.35	0.00	Top-k Socio-Spatial Co-engaged Location Selection for Social Users	2022	23	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3151095
233	0.306	core	0.00	0.00	0.35	0.00	Hierarchical Denoising for Robust Social Recommendation	2024	18	IEEE TKDE		https://doi.org/10.1109/tkde.2024.3508778
234	0.305	core	0.00	0.00	0.27	0.20	Correcting Exposure Bias for Link Recommendation	2021	13	ICML		http://proceedings.mlr.press/v139/gupta21c/gupta21c.pdf
235	0.305	core	0.00	0.00	0.20	0.00	The Gender Perspective in Wikipedia: A Content and Participation Challenge	2022	6	TheWebConf / WWW		https://doi.org/10.1145/3487553.3524937
236	0.305	core	0.00	0.25	0.11	0.00	Outside the Echo Chamber: Optimizing the Performative Risk	2021	2	ICML		https://dblp.uni-trier.de/db/conf/icml/icml2021.html#MillerPZ21
237	0.304	adjacent	0.50	0.00	0.07	0.00	Ownership Verification for Federated Recommendation	2025	1	ACM TOIS	Shenzhen Weiguang Biological Products (China)	https://doi.org/10.1145/3715320
238	0.304	core	0.00	0.00	0.19	0.00	DeHier: decoupled and hierarchical graph neural networks for multi-interest session-based recommendation	2024	5	TheWebConf / WWW		https://doi.org/10.1007/s11280-024-01294-z
239	0.304	core	0.00	0.00	0.00	0.20	A Reward-Informed Semi-Personalized Bandit Approach for Enhancing Accuracy and Serendipity in Online Slate Recommendations	2025	0	ACM RecSys		https://doi.org/10.1145/3771931
240	0.304	core	0.00	0.00	0.07	0.40	HyMoERec: Hybrid Mixture-of-Experts for Sequential Recommendation (Student Abstract)	2026	1	AAAI		https://doi.org/10.1609/aaai.v40i48.42238
241	0.303	adjacent	0.00	0.25	0.43	0.00	DH-HGCN: Dual Homogeneity Hypergraph Convolutional Network for Multiple Social Recommendations	2022	38	SIGIR		https://doi.org/10.1145/3477495.3531828
242	0.303	adjacent	0.00	0.25	0.16	0.20	Search-based Time-aware Graph-enhanced Recommendation with Sequential Behavior Data	2023	4	ACM RecSys		https://doi.org/10.1145/3605356
243	0.303	core	0.00	0.00	0.14	0.00	A Deep Learning Model for Cross-Domain Serendipity Recommendations	2024	3	ACM RecSys		https://doi.org/10.1145/3690654
244	0.302	adjacent	0.00	0.50	0.26	0.00	The Right to AI	2025	8	ICML		https://doi.org/10.48550/arXiv.2501.17899
245	0.302	core	0.00	0.00	0.14	0.00	RADio* – An Introduction to Measuring Normative Diversity in News Recommendations	2023	3	ACM RecSys		https://doi.org/10.1145/3636465
246	0.302	core	0.00	0.00	0.21	0.00	Diversified Query Generation Guided by Knowledge Graph	2022	7	WSDM		https://doi.org/10.1145/3488560.3498431
247	0.302	core	0.00	0.00	0.21	0.20	AI Facilitated Isolations? The Impact of Recommendation-based Influence Diffusion in Human Society	2022	7	IJCAI		https://doi.org/10.24963/ijcai.2022/705
248	0.302	core	0.00	0.00	0.32	0.00	An Adaptive, Context-Aware, and Stacked Attention Network-Based Recommendation System to Capture Users’ Temporal Preference	2022	19	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3140387
249	0.301	core	0.00	0.00	0.32	0.00	Understanding Diversity in Session-based Recommendation	2023	17	ACM TOIS		https://doi.org/10.1145/3600226
250	0.301	adjacent	0.00	0.25	0.56	0.00	Unveiling the Secret Recipe: A Guide For Supervised Fine-Tuning Small LLMs	2024	49	ICLR		https://doi.org/10.48550/arXiv.2412.13337
251	0.300	core	0.00	0.00	0.24	0.00	NAS-CTR	2022	9	SIGIR		https://doi.org/10.1145/3477495.3532030
252	0.299	adjacent	0.00	0.00	0.87	0.00	GraphRouter: A Graph-based Router for LLM Selections	2024	143	ICLR		https://doi.org/10.48550/arXiv.2410.03834
253	0.299	core	0.00	0.00	0.16	0.00	Fairness beyond “equal”: The Diversity Searcher as a Tool to Detect and Enhance the Representation of Socio-political Actors in News Media	2021	4	TheWebConf / WWW		https://doi.org/10.1145/3442442.3452303
254	0.299	adjacent	0.50	0.00	0.07	0.00	DHMRec: Collaboration-Guided Multimodal Disentanglement and Hierarchical Fusion for Recommendation	2026	1	AAAI	DHC Software (China)	https://doi.org/10.1609/aaai.v40i19.38661
255	0.299	core	0.00	0.00	0.12	0.00	A Literature Review of Ethical Considerations in Recommender Systems for User-Generated Content in Human-Computer Interaction	2025	2	ACM RecSys		https://doi.org/10.1145/3770747
256	0.298	core	0.00	0.00	0.30	0.00	Bayes-Enhanced Multi-View Attention Networks for Robust POI Recommendation	2023	15	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3329673
257	0.298	core	0.00	0.00	0.30	0.00	Supporting Serendipitous Discovery and Balanced Analysis of Online Product Reviews with Interaction-Driven Metrics and Bias-Mitigating Suggestions	2022	16	ACM CHI		https://doi.org/10.1145/3491102.3517649
258	0.297	adjacent	0.00	0.50	0.19	0.00	Promoting Research Collaboration with Open Data Driven Team Recommendation in Response to Call for Proposals	2024	5	AAAI		https://doi.org/10.1609/aaai.v38i21.30318
259	0.297	adjacent	0.00	0.50	0.00	0.00	Multi-role social behavior modeling in content-free news recommendation	2025	0	TheWebConf / WWW		https://doi.org/10.1007/s11280-025-01345-z
260	0.297	core	0.00	0.00	0.29	0.00	Q-Chef: The impact of surprise-eliciting systems on food-related decision-making	2022	15	ACM CHI		https://doi.org/10.1145/3491102.3501862
261	0.296	core	0.00	0.00	0.14	0.00	Spatiotemporal data management and analytics for recommender systems	2023	3	TheWebConf / WWW		https://doi.org/10.1007/s11280-023-01162-2
262	0.296	adjacent	0.00	0.25	0.46	0.00	Adaptive Clustering Based Personalized Federated Learning Framework for Next POI Recommendation With Location Noise	2023	39	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3312511
263	0.296	adjacent	0.00	0.25	0.12	0.20	Introduction to the Special Issue on Deep Reinforcement Learning for Recommender Systems	2025	2	ACM RecSys		https://doi.org/10.1145/3746129
264	0.295	adjacent	0.00	0.25	0.37	0.00	Empowering Next POI Recommendation with Multi-Relational Modeling	2022	27	SIGIR		https://doi.org/10.1145/3477495.3531801
265	0.294	adjacent	0.00	0.00	0.31	0.60	Attention Over Self-Attention: Intention-Aware Re-Ranking With Dynamic Transformer Encoders for Recommendation	2022	17	IEEE TKDE		https://doi.org/10.1109/tkde.2022.3208633
266	0.294	adjacent	0.00	0.00	0.64	0.00	PipAttack: Poisoning Federated Recommender Systems for Manipulating Item Promotion	2022	96	WSDM		https://doi.org/10.1145/3488560.3498386
267	0.294	core	0.00	0.00	0.16	0.20	HABIT: Chrono-Synergia Robust Progressive Learning Framework for Composed Image Retrieval	2026	3	AAAI		https://doi.org/10.1609/aaai.v40i8.37608
268	0.293	core	0.00	0.00	0.31	0.00	Obtaining Calibrated Probabilities with Personalized Ranking Models	2022	17	AAAI		https://doi.org/10.1609/aaai.v36i4.20326
269	0.293	weak	0.75	0.25	0.00	0.00	PRADA: Pre-Train Ranking Models With Diverse Relevance Signals Mined From Search Logs	2024	0	IEEE TKDE	Baidu (China)	https://doi.org/10.1109/tkde.2024.3515800
270	0.293	adjacent	0.00	0.00	0.75	0.00	Enhanced Multi-Task Learning and Knowledge Graph-Based Recommender System	2023	108	IEEE TKDE		https://doi.org/10.1109/tkde.2023.3251897
271	0.292	core	0.00	0.00	0.26	0.00	Explainable Session-Based Recommendation via Path Reasoning	2024	10	IEEE TKDE		https://doi.org/10.1109/tkde.2024.3486326
272	0.292	core	0.00	0.00	0.00	0.40	GUIDER: Uncertainty Guided Dynamic Re-ranking for Large Language Models Based Recommender Systems	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i19.38639
273	0.292	core	0.00	0.00	0.00	0.40	ProRec-Video: Guiding Hierarchical Interest Transitions for Proactive Short Video Recommendation with Dynamic Feedback Adaptation	2026	0	AAAI		https://doi.org/10.1609/aaai.v40i17.38475
274	0.292	core	0.00	0.00	0.07	0.00	Shift your Focus for the Greater Good: Improving Fairness at no cost for Accuracy and Diversity in News Recommender Systems	2026	1	ACM RecSys		https://doi.org/10.1145/3790097
275	0.292	adjacent	0.00	0.00	0.52	0.20	When Multi-Level Meets Multi-Interest	2022	60	SIGIR		https://doi.org/10.1145/3477495.3532081
276	0.291	core	0.00	0.00	0.07	0.00	Can Offline Metrics Measure Explanation Goals? A Comparative Survey Analysis of Offline Explanation Metrics in Recommender Systems	2025	1	ACM RecSys		https://doi.org/10.1145/3779420
277	0.291	core	0.00	0.00	0.11	0.00	Escape from An Echo Chamber	2021	2	TheWebConf / WWW		https://doi.org/10.1145/3442442.3458613
278	0.291	adjacent	0.00	0.00	0.74	0.00	CoLLM: Integrating Collaborative Embeddings Into Large Language Models for Recommendation	2025	54	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3540912
279	0.290	core	0.00	0.00	0.25	0.00	Data Anonymization With Diversity Constraints	2021	11	IEEE TKDE		https://doi.org/10.1109/tkde.2021.3131528
280	0.290	core	0.00	0.00	0.14	0.00	Improving school performance and student academic orientation: the role of safety-oriented knowledge management and diversity	2021	3	CIKM		https://doi.org/10.1108/vjikms-06-2021-0088
281	0.289	core	0.00	0.00	0.25	0.00	Who am I, and who are you, and who are we? A Scientometric Analysis of Gender and Geography in HCI	2022	10	ACM CHI		https://doi.org/10.1145/3491102.3502106
282	0.289	adjacent	0.00	0.00	0.80	0.00	Evaluating Quantized Large Language Models	2024	94	ICML		https://doi.org/10.48550/arXiv.2402.18158
283	0.289	adjacent	0.00	0.00	0.24	0.40	A Personalized Framework for Consumer and Producer Group Fairness Optimization in Recommender Systems	2024	8	ACM RecSys		https://doi.org/10.1145/3651167
284	0.288	adjacent	0.00	0.25	0.07	0.20	Self-supervised Graph Neural Sequential Recommendation with Disentangling Long and Short-Term Interest	2025	1	ACM RecSys		https://doi.org/10.1145/3723173
285	0.288	adjacent	0.00	0.00	0.53	0.00	Data Scarcity in Recommendation Systems: A Survey	2024	44	ACM RecSys		https://doi.org/10.1145/3639063
286	0.288	core	0.00	0.00	0.31	0.00	Theoretical and Empirical Insights into the Origins of Degree Bias in Graph Neural Networks	2024	14	NeurIPS		https://doi.org/10.48550/arXiv.2404.03139
287	0.287	core	0.00	0.00	0.27	0.00	On the Utility of Prediction Sets in Human-AI Teams	2022	12	IJCAI		https://doi.org/10.24963/ijcai.2022/341
288	0.286	core	0.00	0.00	0.22	0.00	Diversity-Promoting Recommendation With Dual-Objective Optimization and Dual Consideration	2025	6	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3543285
289	0.282	adjacent	0.00	0.00	0.61	0.20	Customizing Language Models with Instance-wise LoRA for Sequential Recommendation	2024	57	NeurIPS		https://doi.org/10.48550/arXiv.2408.10159
290	0.282	core	0.00	0.00	0.28	0.00	Improving LLMs for Recommendation with Out-Of-Vocabulary Tokens	2024	11	ICML		https://doi.org/10.48550/arXiv.2406.08477
291	0.282	core	0.00	0.00	0.20	0.00	Incremental Multi-View Clustering: Exploring Stream-View Correlations to Learn Consistency and Diversity	2025	5	IEEE TKDE		https://doi.org/10.1109/tkde.2025.3605594
